knn_accuracy,train_loss
26.919999999999998,-0.10590612888336182
27.800000000000004,-0.42167845368385315
24.84,-0.5305913686752319
25.759999999999998,-0.5575927495956421
27.0,-0.5800325274467468
26.479999999999997,-0.5861508250236511
25.679999999999996,-0.6033769845962524
25.6,-0.6231541037559509
26.76,-0.6399916410446167
26.8,-0.646134078502655
27.72,-0.6565523743629456
27.24,-0.6688112020492554
27.12,-0.6815062761306763
26.479999999999997,-0.6876753568649292
27.92,-0.6890169382095337
27.04,-0.6996442675590515
28.599999999999998,-0.6999520659446716
27.72,-0.7123667001724243
28.599999999999998,-0.71331787109375
29.04,-0.7199276685714722
29.360000000000003,-0.7226511836051941
29.520000000000003,-0.7191359996795654
30.56,-0.7214917540550232
29.92,-0.7293577790260315
30.04,-0.7258638143539429
29.599999999999998,-0.7315971851348877
29.48,-0.735027551651001
30.48,-0.7357273697853088
29.84,-0.7438717484474182
30.72,-0.7370564341545105
30.56,-0.7401404976844788
29.959999999999997,-0.7409825325012207
31.36,-0.7440728545188904
31.2,-0.7476873397827148
31.119999999999997,-0.7411413192749023
30.599999999999998,-0.749343991279602
30.8,-0.743933916091919
32.4,-0.7493185997009277
32.12,-0.7499908208847046
32.12,-0.7519032955169678
32.4,-0.7510872483253479
33.44,-0.7442454099655151
31.52,-0.7521807551383972
34.04,-0.7515761256217957
33.12,-0.7525755763053894
33.800000000000004,-0.7477323412895203
33.36,-0.7491555213928223
33.64,-0.755476713180542
34.52,-0.7487165331840515
33.48,-0.7510223984718323
34.4,-0.7561131715774536
34.08,-0.7490243911743164
35.199999999999996,-0.7534246444702148
33.879999999999995,-0.7636303901672363
35.88,-0.7611334919929504
35.44,-0.7661857604980469
36.16,-0.7610926628112793
37.56,-0.7659154534339905
36.44,-0.7693296670913696
36.76,-0.7683404088020325
36.76,-0.7693121433258057
35.72,-0.7592844367027283
36.559999999999995,-0.7680944800376892
37.4,-0.7658454775810242
37.2,-0.768059492111206
35.88,-0.7659577131271362
38.56,-0.7715557813644409
37.44,-0.768663227558136
36.720000000000006,-0.7741386890411377
37.16,-0.771898627281189
37.76,-0.7715407609939575
36.76,-0.768405020236969
36.88,-0.7713309526443481
37.8,-0.773166298866272
38.68,-0.7695499658584595
38.16,-0.7727637887001038
38.84,-0.7732416987419128
39.519999999999996,-0.7768148183822632
39.800000000000004,-0.769808828830719
37.88,-0.7698695063591003
38.76,-0.7715286016464233
38.64,-0.7702418565750122
38.64,-0.7670278549194336
39.68,-0.77298504114151
39.04,-0.7675855159759521
39.56,-0.7706474661827087
39.879999999999995,-0.7797585129737854
39.879999999999995,-0.7710229754447937
38.879999999999995,-0.7693073749542236
40.04,-0.7736071944236755
40.239999999999995,-0.7798307538032532
39.800000000000004,-0.7743484377861023
39.92,-0.7829132676124573
39.08,-0.7750958204269409
39.92,-0.7779486179351807
40.88,-0.772926926612854
40.239999999999995,-0.7779020667076111
40.44,-0.7780646085739136
40.28,-0.7782118320465088
40.92,-0.7765913605690002
40.36,-0.7736159563064575
40.36,-0.7802926898002625
40.28,-0.7791248559951782
39.68,-0.7837998867034912
39.04,-0.7783526182174683
39.800000000000004,-0.7820104360580444
40.08,-0.7762933969497681
41.08,-0.7820621728897095
39.92,-0.7859702706336975
40.400000000000006,-0.7822919487953186
40.239999999999995,-0.7820759415626526
40.160000000000004,-0.7789463400840759
40.72,-0.7777161598205566
40.32,-0.7805524468421936
40.04,-0.7877135276794434
