round,test_accuracy,train_loss,d_loss,cka_loss
1,26.72,-0.5885044936285481,-0.5885044936285481,0.0
2,26.240000000000002,-0.43361442275000556,-0.6575969797666256,0.22398255727701502
3,27.0,-0.45386323145514845,-0.6971547009870387,0.24329147048632857
4,26.119999999999997,-0.45733783997387634,-0.7220385060136914,0.2647006656471725
5,27.68,-0.45412985542955836,-0.7331786747429705,0.27904881907190326
6,26.72,-0.4598441891145068,-0.7428295955887058,0.28298540662151705
7,27.0,-0.46411806487719454,-0.7464571307502571,0.28233906677089515
8,27.200000000000003,-0.48155146562619955,-0.7560908268245757,0.2745393621168037
9,26.840000000000003,-0.4812800639615355,-0.761714281115393,0.28043421514876393
10,28.92,-0.4790014080320758,-0.7619937207477695,0.28299231389039425
