round,test_accuracy,train_loss,d_loss,cka_loss
1,31.36,-0.17959631514011032,0,0
2,28.599999999999998,-0.4720580736033243,0,0
3,29.32,-0.5868200265059165,0,0
4,27.400000000000002,-0.6388948577599393,0,0
5,25.56,-0.6620439084781742,0,0
6,24.0,-0.6868982113512277,0,0
7,24.72,-0.7043166296482889,0,0
8,24.8,-0.7112713857886668,0,0
9,26.0,-0.7149041206580421,0,0
10,25.480000000000004,-0.7216622718407449,0,0
11,25.72,-0.7288394985072438,0,0
12,24.68,-0.7332105844150588,0,0
13,24.88,-0.7412725077238148,0,0
14,25.119999999999997,-0.7454402414213528,0,0
15,25.28,-0.7433340379246357,0,0
16,26.08,-0.7488788643177109,0,0
17,25.2,-0.7471612403229932,0,0
18,24.6,-0.7559337397888353,0,0
19,25.6,-0.7576835883880303,0,0
20,24.68,-0.7615544981411912,0,0
21,24.8,-0.7641111621688713,0,0
22,25.240000000000002,-0.7638374291746102,0,0
23,25.44,-0.7603111066508174,0,0
24,24.92,-0.7682033605349085,0,0
25,25.2,-0.7726951599608066,0,0
26,25.6,-0.7700907909513123,0,0
27,24.4,-0.7771339884378493,0,0
28,25.240000000000002,-0.7681273584525192,0,0
29,25.72,-0.7809718097474538,0,0
30,24.48,-0.7818625692984572,0,0
31,26.72,-0.7869052734430391,0,0
32,25.919999999999998,-0.7813778111410763,0,0
33,25.72,-0.7864709685679236,0,0
34,25.6,-0.7894113194937957,0,0
35,26.279999999999998,-0.7858099037478268,0,0
36,26.68,-0.7848666395779813,0,0
37,27.200000000000003,-0.7882629328684775,0,0
38,27.08,-0.7972174754182598,0,0
39,27.52,-0.7944384802285067,0,0
40,27.16,-0.7998691684175119,0,0
41,26.88,-0.8020151231146823,0,0
42,27.88,-0.7995168987681769,0,0
43,28.84,-0.8007918956323002,0,0
44,28.48,-0.8086569522775584,0,0
45,28.84,-0.805800492212688,0,0
46,28.96,-0.8064302743437014,0,0
47,27.88,-0.8062723870029253,0,0
48,28.92,-0.8078272260071955,0,0
49,28.999999999999996,-0.8161984296635948,0,0
50,28.96,-0.8130387704356652,0,0
51,30.12,-0.8206560592098068,0,0
52,30.44,-0.8215412805870626,0,0
53,30.8,-0.8285507956657546,0,0
54,30.64,-0.8267347096986541,0,0
55,30.959999999999997,-0.8318113420304224,0,0
56,31.16,-0.8291716264594283,0,0
57,31.4,-0.8328573099081262,0,0
58,31.52,-0.8308226930579855,0,0
59,31.56,-0.8334403711531398,0,0
60,32.56,-0.8355488219875479,0,0
61,32.28,-0.8360443906199151,0,0
62,33.800000000000004,-0.8391244705446341,0,0
63,32.519999999999996,-0.8436888123526015,0,0
64,33.0,-0.8378965798791209,0,0
65,33.0,-0.8373472834248333,0,0
66,32.28,-0.8438394002620218,0,0
67,33.96,-0.8410586384867578,0,0
68,32.800000000000004,-0.8443840991177745,0,0
69,32.800000000000004,-0.8464391819386571,0,0
70,33.839999999999996,-0.8430289430299994,0,0
71,33.64,-0.8424558373096817,0,0
72,34.28,-0.8417871584152332,0,0
73,34.28,-0.8433764688962537,0,0
74,33.68,-0.8460756406735089,0,0
75,34.8,-0.8437541373147006,0,0
76,33.56,-0.8430293780084411,0,0
77,34.08,-0.845583887837792,0,0
78,34.28,-0.8485178798177929,0,0
79,34.839999999999996,-0.8440109071064176,0,0
80,33.92,-0.8443062925575859,0,0
81,34.72,-0.8489139844633413,0,0
82,35.0,-0.850134116495368,0,0
83,34.92,-0.843694433966801,0,0
84,35.839999999999996,-0.8459017529966453,0,0
85,35.6,-0.8475307924938322,0,0
86,35.4,-0.8468681539058986,0,0
87,35.04,-0.8470167534625591,0,0
88,36.4,-0.8412449582843968,0,0
89,36.559999999999995,-0.8490109875095512,0,0
90,36.559999999999995,-0.8448684064003855,0,0
91,36.559999999999995,-0.8460169662358081,0,0
92,35.96,-0.8452172701117968,0,0
93,37.480000000000004,-0.8453619858850333,0,0
94,37.44,-0.8462598340933573,0,0
95,37.480000000000004,-0.8457109729803372,0,0
96,36.919999999999995,-0.8442188131896233,0,0
97,36.52,-0.8535054957513858,0,0
98,38.96,-0.8474716520720259,0,0
99,37.04,-0.8476273445539303,0,0
100,37.6,-0.8490562587249759,0,0
101,38.279999999999994,-0.8516184152350682,0,0
102,38.36,-0.8513554168873063,0,0
103,37.84,-0.8539447715939597,0,0
104,37.16,-0.8553623050997453,0,0
105,38.68,-0.8529226676827328,0,0
106,38.92,-0.8523523841846571,0,0
107,38.68,-0.8539193175805839,0,0
108,37.16,-0.8511517318404985,0,0
109,39.04,-0.8542180103925944,0,0
110,39.160000000000004,-0.8561527680424228,0,0
111,39.24,-0.857602373232976,0,0
112,37.76,-0.855083820064371,0,0
113,39.36,-0.8565254336580784,0,0
114,38.56,-0.8567500025636218,0,0
115,38.879999999999995,-0.8558398131090182,0,0
116,39.519999999999996,-0.8619908004211254,0,0
117,39.2,-0.8566101577066011,0,0
118,39.76,-0.8587739003469648,0,0
119,38.92,-0.8590030878659852,0,0
120,38.279999999999994,-0.8570802434052079,0,0
121,39.36,-0.8573789963725542,0,0
122,39.6,-0.8585687090865087,0,0
123,39.04,-0.8613722159254833,0,0
124,39.56,-0.8597114742712842,0,0
125,40.48,-0.8587033363351917,0,0
126,40.56,-0.861222751039417,0,0
127,39.92,-0.859410845507887,0,0
128,40.28,-0.8594036162661081,0,0
129,40.6,-0.8607494986728786,0,0
130,40.239999999999995,-0.8630525627457132,0,0
131,40.44,-0.8617622060855532,0,0
132,39.92,-0.8606859882364066,0,0
133,40.88,-0.8645183240431327,0,0
134,40.0,-0.8648772982375088,0,0
135,39.96,-0.8666284916257216,0,0
136,40.28,-0.8581345849521633,0,0
137,40.839999999999996,-0.8582070429010624,0,0
138,41.0,-0.8657831464602289,0,0
139,40.160000000000004,-0.8630273442467256,0,0
140,39.879999999999995,-0.8612251593748327,0,0
141,40.68,-0.8650294721434113,0,0
142,40.839999999999996,-0.8682817004974343,0,0
143,40.88,-0.8657435236086649,0,0
144,40.56,-0.8668187888857191,0,0
145,40.760000000000005,-0.8657327941516533,0,0
146,41.56,-0.8644270916665443,0,0
147,40.88,-0.865915030174163,0,0
148,40.96,-0.8658466611242254,0,0
149,41.64,-0.8673152615079375,0,0
150,40.6,-0.8714430613322892,0,0
151,41.36,-0.8610255712779282,0,0
152,40.96,-0.8664698548516341,0,0
153,40.839999999999996,-0.866406679585576,0,0
154,40.64,-0.8647253041269501,0,0
155,40.88,-0.8658784880119844,0,0
156,41.56,-0.8678137975634649,0,0
157,41.6,-0.8660791177841851,0,0
158,41.44,-0.8676198262969451,0,0
159,40.52,-0.8673758374378737,0,0
160,42.0,-0.8665086964944597,0,0
161,41.28,-0.8679758492203875,0,0
162,41.36,-0.8662948181844621,0,0
163,40.96,-0.8680353761662237,0,0
164,41.36,-0.8674474992511249,0,0
165,42.120000000000005,-0.8688751396413705,0,0
166,41.36,-0.86551410454322,0,0
167,41.839999999999996,-0.864333261214563,0,0
168,42.4,-0.8662307920196742,0,0
169,42.08,-0.8655182700593264,0,0
170,41.36,-0.8671676965287438,0,0
171,41.68,-0.8658697991528093,0,0
172,41.64,-0.8657903837029781,0,0
173,41.760000000000005,-0.8608159947588688,0,0
174,42.199999999999996,-0.8699932825258785,0,0
175,41.72,-0.867382612007746,0,0
176,42.04,-0.8671980122741926,0,0
177,42.8,-0.8704005167120936,0,0
178,42.0,-0.8669890102855184,0,0
179,42.0,-0.8677489140483065,0,0
180,41.839999999999996,-0.8647036657507972,0,0
181,42.28,-0.8678116010562539,0,0
182,42.24,-0.868826991956523,0,0
183,42.76,-0.8668757626479021,0,0
184,43.0,-0.870622509932217,0,0
185,42.4,-0.8687549322122676,0,0
186,41.8,-0.8704525469840175,0,0
187,42.76,-0.8700820968974219,0,0
