round,test_accuracy,train_loss,d_loss,cka_loss
1,39.879999999999995,-0.8654763947833669,0,0
2,40.160000000000004,-0.868976535580375,0,0
3,39.96,-0.8591867457736623,0,0
4,39.56,-0.8651302695274354,0,0
5,38.92,-0.8605400919914246,0,0
6,39.800000000000004,-0.8665962262587115,0,0
7,39.2,-0.8679180242798545,0,0
8,39.76,-0.8672634742476724,0,0
9,39.44,-0.8677545298229564,0,0
10,38.879999999999995,-0.86196762973612,0,0
11,39.6,-0.8676173882050947,0,0
12,38.92,-0.8674221071329984,0,0
13,39.72,-0.8672969991510565,0,0
14,40.0,-0.8687088229439475,0,0
15,39.92,-0.8686277508735658,0,0
16,38.92,-0.8684031345627524,0,0
17,39.32,-0.8669791189107028,0,0
18,40.36,-0.8667127815159884,0,0
19,39.4,-0.8668124448169362,0,0
20,40.32,-0.8716816544532776,0,0
21,41.199999999999996,-0.8669032714583658,0,0
22,40.6,-0.8703058936379173,0,0
23,40.56,-0.8672471523284913,0,0
24,40.160000000000004,-0.8689374457706104,0,0
25,39.48,-0.8699283545667476,0,0
26,39.44,-0.8659312627532266,0,0
27,40.760000000000005,-0.8688280506567522,0,0
28,41.0,-0.8681555888869545,0,0
29,40.08,-0.8713055296377701,0,0
30,39.48,-0.8676248116926714,0,0
31,40.28,-0.8690397230061617,0,0
32,39.76,-0.8685170401226391,0,0
33,40.64,-0.8702925378626043,0,0
34,40.28,-0.868422136523507,0,0
35,40.6,-0.8687092423439026,0,0
36,40.08,-0.8697857271541248,0,0
37,40.239999999999995,-0.8704949162223123,0,0
38,40.239999999999995,-0.8689346302639355,0,0
39,40.28,-0.8718565160577947,0,0
40,40.239999999999995,-0.8692854057658803,0,0
41,41.839999999999996,-0.8697716084393587,0,0
42,40.32,-0.8700209585103121,0,0
43,41.44,-0.8701305757869373,0,0
44,40.52,-0.8724212147972801,0,0
45,41.56,-0.8696720069104974,0,0
46,41.04,-0.8689735575155779,0,0
47,41.199999999999996,-0.8699473706158725,0,0
48,41.52,-0.8698204571550542,0,0
49,41.36,-0.8694548205895857,0,0
50,42.32,-0.8687873276797208,0,0
